,filename,real_stars,simulated_stars
330,./images/procSPECU2.2025-07-10T01:19:21.490.fits,339,277
331,./images/procSPECU2.2025-09-22T01:54:06.420.fits,328,258
332,./images/procSp0019+5213-S001-R001-C093-I+z.fits,1081,941
333,./images/procSPECU4.2019-01-01T02:25:34.790.fits,92,93
334,./images/procSPECU1.2025-09-27T06:41:02.730.fits,51,44
335,./images/procSPECU3.2021-07-21T08:11:59.070.fits,128,86
336,./images/procSPECU3.2024-10-31T01:42:59.090.fits,82,79
337,./images/procSPECU4.2024-04-27T04:55:40.000.fits,110,79
338,./images/procSPECU3.2023-11-08T02:03:17.630.fits,207,132
339,./images/procSPECU3.2025-07-21T02:47:04.000.fits,403,257
340,./images/procSPECU2.2025-08-28T00:34:26.200.fits,1296,1004
341,./images/procSPECU2.2022-08-01T01:51:17.140.fits,452,276
342,./images/procSPECU1.2019-07-31T06:20:20.430.fits,302,202
343,./images/procSp0911+7401-S001-R001-C103-I+z.fits,171,132
344,./images/procSp0801+5624-S001-R001-C106-I+z.fits,168,112
345,./images/procSPECU4.2021-05-26T07:50:26.370.fits,990,813
346,./images/procSPECU3.2018-10-01T00:13:23.800.fits,102,72
347,./images/procTOI-5956.01-S001-R001-C072-I+z.fits,392,305
348,./images/procSPECU1.2024-04-21T00:07:08.180.fits,1905,1405
349,./images/procSPECU1.2024-10-26T02:38:12.820.fits,88,70
350,./images/procSPECU3.2025-09-09T02:03:05.000.fits,108,76
351,./images/procSPECU4.2019-05-17T01:08:48.480.fits,604,476
352,./images/procSPECU3.2024-11-14T02:20:35.520.fits,90,71
353,./images/procSPECU2.2025-05-21T08:00:35.080.fits,2690,2031
354,./images/procSPECU4.2019-09-01T02:20:57.440.fits,252,156
